"driver","glass_baseline_source","on_gee","preferred_gee_dataset","preferred_gee_asset_id","dataset_family","alternate_gee_dataset","alternate_gee_asset_id","upload_original_source_asset_option","gee_recommendation_logic","status_notes","same_database_as_glass_source","glass_spatial_resolution","glass_temporal_resolution","glass_data_type","selected_gee_spatial_resolution","selected_gee_temporal_resolution","selected_gee_data_type","key_differences_glass_vs_selected_gee"
"Elevation","WorldClim/SRTM elevation (wc2.1_30s_elev.tif)","No","SRTM DEM 30m","USGS/SRTMGL1_003","Non-ERA5","Copernicus DEM GLO-30","COPERNICUS/DEM/GLO30","Optional: upload wc2.1_30s_elev.tif (WorldClim/SRTM) for strict workflow reproduction","Use static DEM on GEE; ERA5-Land has no elevation band","No exact public GEE match for workflow source file","No","30 arc-sec (~1 km)","Static","Continuous raster (elevation m)","30 m","Static","Continuous raster (elevation m)","Different product lineage (WorldClim-processed SRTM vs SRTM GEE) and finer selected spatial resolution"
"Land Cover","GLCC land cover (gblulcgeo20.tif)","No","GLC_FCS30D annual","projects/sat-io/open-datasets/GLC-FCS30D/annual","Non-ERA5","MODIS Land Cover Type","MODIS/061/MCD12Q1","Optional: upload gblulcgeo20.tif (GLCC) for strict workflow reproduction","Use best available non-exact land-cover product on GEE or upload GLCC source","No exact public GEE match for workflow source file","No","1 km (GLCC)","Static (single epoch)","Categorical raster classes","30 m","Annual (1985-2022)","Categorical raster classes","Major change: static GLCC to dynamic GLC_FCS30D; class schemes differ"
"NPP","MODIS NPP (MOD17A3HGF)","Yes","MODIS NPP v061","MODIS/061/MOD17A3HGF","Non-ERA5","MODIS NPP (Aqua)","MODIS/061/MYD17A3HGF","No","Fixed to MODIS in GEE workflow; ERA5-Land does not provide NPP","Exact match available on GEE","Yes","500 m","Annual","Continuous raster (gC m-2 yr-1)","500 m","Annual","Continuous raster (gC m-2 yr-1)","None (exact MODIS match)"
"Evapotranspiration","MODIS ET (MOD16A2GF)","Yes","ERA5-Land Daily (total_evaporation_sum)","ECMWF/ERA5_LAND/DAILY_AGGR","ERA5-Land","MODIS ET v061 (exact source match)","MODIS/061/MOD16A2GF","No","Yes, available on GEE (exact MODIS match), but using ERA5-Land daily","Exact MODIS match available on GEE; ERA5-Land used operationally","No","500 m","8-day composite","Continuous raster (ET flux)","0.1 deg (~11.1 km)","Daily","Continuous raster (reanalysis ET flux)","Operational source changes from MODIS to ERA5-Land; coarser spatial, finer temporal"
"Air Temperature","Monthly air temperature NetCDF used in workflow","No","ERA5-Land Daily (temperature_2m, min, max)","ECMWF/ERA5_LAND/DAILY_AGGR","ERA5-Land","ERA5-Land Monthly","ECMWF/ERA5_LAND/MONTHLY_AGGR","Optional: upload original monthly NetCDF source for strict continuity","Prioritize ERA5-Land daily for temporal resolution","No exact public GEE match confirmed for workflow source","No","Unknown (workflow NetCDF source not fully resolved)","Monthly","Continuous raster (temperature)","0.1 deg (~11.1 km)","Daily","Continuous raster (2 m temperature reanalysis)","Source and cadence shift to ERA5-Land daily"
"Precipitation","GPCP monthly precipitation used in workflow","No","ERA5-Land Daily (total_precipitation_sum)","ECMWF/ERA5_LAND/DAILY_AGGR","ERA5-Land","ERA5-Land Monthly","ECMWF/ERA5_LAND/MONTHLY_AGGR","Optional: upload workflow GPCP source for strict continuity","Prioritize ERA5-Land daily for temporal resolution","No exact public GEE match confirmed for workflow source","No","2.5 deg (~278 km, GPCP)","Monthly","Continuous raster (precipitation)","0.1 deg (~11.1 km)","Daily","Continuous raster (reanalysis precipitation)","Much finer spatial/temporal scale and source shift (GPCP to ERA5-Land)"
"Snow Fraction","MODIS snow cover (MOD10A2)","No","ERA5-Land Daily (snow_cover, min, max)","ECMWF/ERA5_LAND/DAILY_AGGR","ERA5-Land","MODIS Snow Cover Daily","MODIS/061/MOD10A1","Optional: upload workflow MODIS snow stack for strict observation continuity","Prioritize ERA5-Land daily; MODIS optional fallback","No exact public GEE match confirmed for workflow source product","No","500 m","8-day composite","Continuous raster (snow cover fraction/percent)","0.1 deg (~11.1 km)","Daily","Continuous raster (reanalysis snow cover fraction)","MODIS observation-based snow to ERA5-Land reanalysis; coarser spatial, finer temporal"
"Greenup day","MODIS phenology (MCD12Q2)","Yes","MODIS Land Cover Dynamics (Greenup day)","MODIS/061/MCD12Q2","Non-ERA5","","","No","Fixed to MODIS in GEE workflow; ERA5-Land has no phenology transition date product","Exact match available on GEE","Yes","500 m","Annual","Integer raster (day-of-year phenology metric)","500 m","Annual","Integer raster (day-of-year phenology metric)","None (exact MODIS match)"
"Permafrost","Permafrost probability raster perprob.tif (Obu et al. 2018, PANGAEA.888600)","No","Upload perprob.tif as EE image asset","user asset","Upload original source","ERA5 freeze-thaw proxy metrics","ECMWF/ERA5_LAND/DAILY_AGGR","Yes (recommended): upload perprob.tif from Obu et al. 2018 / PANGAEA.888600","No official global permafrost-probability equivalent in public GEE catalog","No exact public GEE match","Yes (if uploaded)","~1 km (source grid)","Static","Continuous raster (permafrost probability)","Same as uploaded source","Static","Continuous raster (permafrost probability)","No difference if original source is uploaded; no exact public GEE equivalent"
"Soil Order","USDA suborder classes raster (TAXOUSDA_250m_suborder_classes.tif)","No","OpenLandMap soil class products (similar, not exact)","OpenLandMap/SOL/*","Non-ERA5","Upload TAXOUSDA_250m_suborder_classes.tif as EE image asset","user asset","Optional (recommended if exact taxonomy matching is required)","Use similar GEE soil classes unless exact taxonomy raster is required","No exact public GEE match confirmed","No","250 m","Static","Categorical raster (USDA suborder classes)","~250 m (OpenLandMap typical)","Static","Categorical/probabilistic soil classes","Similar scale but taxonomy/schema not exact"
"Lithology","GLiM lithology map (glim_wgs84_0point5deg.txt.asc + class table)","No","projects/sat-io/open-datasets/GLiM","projects/sat-io/open-datasets/GLiM","Non-ERA5","Upload glim_wgs84_0point5deg.txt.asc as EE image asset","user asset","Optional (for exact workflow reproduction only)","Use GLiM on GEE; ERA5-Land has no lithology product","Exact source identity not fully confirmed; treat as non-exact","Unknown (likely, not confirmed)","0.5 deg (~50 km)","Static","Categorical raster (lithology classes)","~0.5 deg (~50 km, expected)","Static","Categorical raster (lithology classes)","Likely similar source/grid, but exact source identity not fully confirmed"
